商品ID,商品名称,规格,upc码,折扣价,原价,skuid
20318061125,【脆司令】黑椒牛排味干脆面 53g_袋,53克/袋,6920189005594,1.17,1.8,35110699224
20423558709,米多奇 烤馍片非油炸烘烤糕点小零食（口味随机发）50g_袋,50g*1袋,6926215372890,0.01,2,35451312804
20319619619,小浣熊 奥尔良烤翅味35g／袋 干脆面儿时的回忆（新老包装随机）,35g*1袋（包装随机）,6903978938938,1.3,2,35113801772
20318107574,中街 糯米糍香草口味雪糕 35g_袋,35g*1袋,6921895902351,0.01,1.5,35109624532
20319926121,劲仔 酱汁味小鱼干 深海小鱼休闲零食 12g／袋,12g*1袋,6901505396107,1.32,1.5,35112260956
20318543394,卫龙 魔芋爽香辣素毛肚 80 克_袋,80克*1袋,6935284415650,4.4,5,35109592002
20317874640,乐事 经典原味薯片够薄够脆口味纯正 70g／袋,70g*1袋,6902944468721,6.6,7.5,35112138207
20330837351,仅限一份【惊喜盲盒】饮料？可乐？各种零食（惊喜不断）,1个*1份,3006491093320,0.5,0.5,35144528868
20320284623,狗牙儿 比萨卷烧烤味儿时怀旧回忆小零食 20g／袋,20g*1袋,6902890346159,0.78,0.78,35111430174
20319449643,精选新鲜越南香蕉 1根约100g,100g*1份,2080486866138,0.01,2.5,35109512196
20318064463,【小包】禛香肥牛牛肉味素食风味就选 18g_袋,18g*1袋,,1.5,1.5,35110554331
20320044975,加多宝 凉茶植物饮料 310ml／罐,310ml*1罐,6902991940355,3.43,3.9,35111063369
20319054021,优粮 小滑头儿时回忆怀旧小零食素食经典 18g／袋,18g*1袋,6902784943129,0.9,0.9,35113081445
20317232851,简禾 酒精湿巾湿纸巾大包一次性消毒纸巾家用厨房卫生纸 80片_包,80片/包,6973387145432,12.48,15.8,35109548253
20318743694,娃哈哈 桂圆八宝八宝粥 360g_罐,360g*1罐,6902083893019,0.01,5,35109990564
20611879606,伊利冰工厂 炫菠萝雪泥 70g_袋,70g*1袋,6907992825311,2.64,3,35863260440
20320003977,旺仔 牛奶 145ml_罐,145ml*1罐,8932703971214,3.5,3.5,35109878732
20319379653,步步升 南京板鸭 儿时回忆办公休闲小零嘴 20g／袋,20克/袋,6904000638772,0.8,0.8,35113131717
20442838920,好丽友好有趣 韩国泡菜味好友趣切片型马铃薯片 45g_袋,45g*1袋,6920907808834,4.25,5,35500837523
20317713915,小浣熊 销魂香辣蟹味油炸方便面 35g_袋,35g*1袋,6925303713058,1.3,2,35111651312
20319294692,上海特产老城隍庙奶油五香豆200克蚕豆休闲零食_袋,200克,2080299087546,13.78,16.8,35111458567
20319293916,爱尚咪咪 虾味油炸糕点虾条 18克_袋,18克*1袋,6924790600537,0.01,1,35112047319
20317987927,旺旺 大米饼 135g_袋,135g*1袋,6920616313186,9.5,10.8,35110536289
20318981267,甘师傅 一根葱葱香味一根葱非油炸膨化食品 13g／袋怀旧小食品,13g*1袋,6901939344644,1.99,0.99,35113604557
20592674507,双汇 王中王火腿肠 30g_根,30g*1根,6902890883968,0.01,2,35815568460
20317744278,缺牙齿 香辣味素牛肚 16g_袋,16g*1袋,6976481800078,3,3,35109471389
20902350634,冈本okamoto 001超润滑聚氨酯避孕套 3片_盒,3片*1盒,4547691791696,83.9,128,36652819758
20795811956,七鲜巴马弱碱性天然泉水 380ml_瓶,380ml/瓶,6978412561942,0.01,2,36269480332
20795811947,七鲜巴马弱碱性天然泉水 500ml_瓶,500ml/瓶,6978412561959,0.01,2.3,36269480323
20317356107,【规格可选】编织袋打包袋蛇皮袋搬家快递打包装修垃圾沙土袋1个,100*150cm,6901763651109,3.51,3.5,35113441965
21722804533,迪味臻小鱼口味随机12g1袋,,,0.01,1.5,38663087741
20317552424,农夫山泉 天然饮用水 5L／桶,5l*1桶,6902106574543,21.67,16.8,35113168404
21152166207,形象美 玻尿酸水润精华面膜 1片,25g*1片,6942349708558,5.01,5,37304364013
20779076810,【颜色随机】大号塑料圆形垃圾桶办公室卫生间厕所家用厨房圆形纸篓种蒜筐_个,,,0.1,9.9,36236428275
20319889182,红牛 维生素功能饮料罐装 250ml／罐,250ml*1罐,6901897944115,8.51,8.5,35113281934
20319449643,精选新鲜越南香蕉 1根约100g,100g*1份,2080486866138,0.01,2.5,35109512196
20612982160,蒙牛绿色心情 绿莎莎雪糕 70g_支,70g*1支,6923644266257,0.01,3.5,35863171431
20318107574,中街 糯米糍香草口味雪糕 35g_袋,35g*1袋,6921895902351,0.01,1.5,35109624532
20318972257,清风 原木卷纸 1卷,1卷*1袋,6922266450310,1.45,5,35109668703
20319686677,旺旺 碎冰冰 78g／支【口味随机】,78g*1支,6901526547304,1.51,1.5,35110435328
20594652316,康师傅 低糖绿茶饮料 1l_瓶【红绿随机】,1l*1瓶,6922507038611,6.01,6,35817125955
20595171196,康师傅红茶茶饮料 500毫升_瓶【口味随机】,500毫升*1瓶,6943260971267,0.01,3.5,35817164091
20319618647,if 椰汁水国进口纯椰子水果汁无添加  350ml／瓶,350毫升,6903973837274,12.26,9.5,35113561146
20317676593,农夫山泉茶π瓶茶派蜜桃乌龙柠檬红茶青提茶兀【口味随机】500ml_瓶,500毫升/瓶,6903354722403,6.01,6,35109759535
20318743694,娃哈哈 桂圆八宝八宝粥 360g_罐,360g*1罐,6902083893019,0.01,5,35109990564
20319807738,农夫山泉 天然饮用水 1.5L／瓶 天然水大瓶装,1.5l*1瓶,6903355392889,1.31,4.5,35113206891
20317945136,百岁山 天然矿泉水 办公室会议小瓶装水 348ml／瓶,348ml/瓶,6902068928255,0.01,2.5,35110872453
20319298638,【国货之光】娃哈哈 饮用纯净水 596ml／瓶,596ml*1瓶,6901670527375,0.01,2,35113124776
20317391196,哇哈哈 ad钙奶 220g_瓶,220g*1瓶,40363245597369,8.41,2.8,35111013349
20317993427,怡宝 饮用纯净水 饮用水  555ml／瓶,555ml*1瓶,6903056866443,0.01,2.2,35110279415
20320121272,农夫山泉 天然饮用水 天然饮用水 550ml／瓶,550ml*1瓶,6902921992324,0.01,2,35110156697
20318784104,王老吉 植物凉茶清凉降火本草植物配制 310ml／罐,310ml*1罐,6903725939645,0.01,4,35110871034
20423558709,米多奇 烤馍片非油炸烘烤糕点小零食（口味随机发）50g_袋,50g*1袋,6926215372890,0.01,2,35451312804
20593266460,元气森林 0糖0脂0卡气元气森林气泡水 480ml_瓶【口味随机】,480ml*1瓶,6901018969805,0.01,5.5,35815189145
20319326172,百威 9.7°P啤酒 500ml_听,500ml*1听,6948960100078,19.01,9.5,35111525613
20317718385,雪碧 清爽柠檬味汽水 500ml／瓶 透心凉夏季解渴饮品,500ml*1瓶,6901084259084,0.01,3.5,35111743698
20317827561,雪花清爽 清爽8°P啤酒 500ml_听,500ml*1听,6948391600567,0.01,5,35111446936
20317119570,可口可乐 零度无糖汽水 0糖0脂肪健身必备 330ml／罐,330ml*1罐,6902161339224,4.51,4.5,35111694741
20318264219,【随机品牌】可口可乐雪碧美年达芬达多种口味汽水 330ml_罐,330ml*1罐,6920273347241,0.01,2.5,35109311766
20319447634,【口味随机】东方树叶 0卡茶饮料 500ml_瓶,500ml*1瓶,6968217558049,6.01,6,35111248135
20319487391,雪菲力 荔枝味复合果汁饮料 250ml_盒,250ml*1盒,6901939122846,0.01,2.5,35110023771
20319528527,伊利 草莓味优酸乳 250ml／盒 酸酸甜甜就是我,250ml*1盒,6901388210972,0.01,2.5,35110664752
20317996612,鲲乐 素牛味棒辣条小零食回忆辣条怀旧零食 15g／袋,15克/袋,6902809540340,0.01,1.5,35113644365
20318112912,味芝元 香辣鱼排 26g／袋,26g*1袋,6902163533958,0.01,3.6,35111344332
20317836095,南街村 北京麻辣方便面 65g／袋 儿时的味道经典麻辣味,65g*1袋,6904052644097,2.21,2.2,35112295729
20426248351,余同乐 素食北京烤鸭其他豆制品 76g_袋,76g*1袋,6971082140097,1.16,4,35452908370
20317544670,双汇 台式烤香肠 38g_袋,38g*1袋,6902890259541,0.01,3,35108799399
20317832437,麻辣王子 地道辣条微麻微辣 18g／袋 网红平江辣条,18g*1袋,6902902737487,1.81,1.8,35112286735
20319809089,洽洽 香瓜子 洽洽坚果炒货 110g／包,110g/包,6901127020046,1.97,6.8,35111671290
20318422176,卫龙 香辣味大面筋辣条102g／袋 卫龙休闲小零食,102g*1袋,6901255878281,5.01,5,35112368547
20512614732,迪味臻 山椒味泡椒凤爪 35g_袋,32g*1袋,6924690501101,0.01,3.9,35653507598
20428212802,琥珀小米锅巴 麻辣味小米锅巴含油型膨化食品 22g_袋,22g*1袋,6936605800018,0.01,1.5,35461280698
20318981267,甘师傅 一根葱葱香味一根葱非油炸膨化食品 13g／袋怀旧小食品,13g*1袋,6901939344644,1.99,0.99,35113604557
20319293916,爱尚咪咪 虾味油炸糕点虾条 18克_袋,18克*1袋,6924790600537,0.01,1,35112047319
20595280329,康师傅 方便面 112g_桶【口味随机】,112g*1桶,6920208993345,1.6,5.5,35815688807
20318701286,【口味随机】小浣熊 干脆面有肉任性油炸方便面 35g_袋,35g*1袋,6925303779009,0.01,2,35109155311
20319610068,【口味随机】康师傅 红烧牛肉方便面 1袋,104g*1袋,6903252108347,3.51,3.5,35109591432
20592674507,双汇 王中王火腿肠 30g_根,30g*1根,6902890883968,0.01,2,35815568460
20320006350,【口感松脆】乐事 薯片原味黄瓜多口味膨化土豆片休闲零食 口味随机 40g／袋,40g*1袋,6901113636794,0.01,5,35110791981
20594729777,喜之郎 吸吸果汁果冻 150克_袋【口味随机】,150克*1袋,6926468201343,0.01,4.5,35815378523
20320245924,好丽友派 巧克力味涂饰蛋类芯饼 68g／盒,68g*1盒,6903662463494,1.45,5,35112735868
20593856068,卫龙 魔芋爽素毛肚 18g_袋【口味随机】,18g*1袋,11080268,0.01,1.5,35814066277
20595322901,卫龙 经典亲嘴烧经典香 散装称重 约12g_袋【口味随机】,12g*1袋,3003211056214,0.01,1.5,35813196861
20593981069,劲仔 小鱼 12g_袋【口味随机】,12g*1袋,6903122165340,0.01,1.5,35814662550
20319736007,【口味随机】旺仔 QQ糖休闲小零食 20g／袋,20g*1袋,6903899275617,0.01,1.5,35112456062
20318462360,佳洁士 盐白牙膏自然洁白冰感清新 90g／支,90克*1支,6901164773066,2.9,12.8,35110558880
20319135316,【单支装】佳洁士牙刷软毛成人牙刷五彩水晶手动便携,1支*1卡,6903148072356,1.45,5,35109590801
20318498720,大垃圾袋大号加厚特大黑色酒店物业超大塑料袋一次性平口90110,1只*1份#50只/袋,6931835010084,0.01,2,35111213828
20317548076,金晨同款发卡高马尾爪夹固定神器发夹女后脑勺小号鲨鱼夹防塌抓夹／个,一个,6902160395894,0.01,3.8,35111932030
20317595730,安琪 甜味型甜酒曲 8g_袋,8g*1袋,6917790973060,0.01,1.2,35110662780
20318180451,乌江榨菜原味70g_袋,70克/袋,4154570337106,1.33,4.6,35109432759
20317478338,苏菲 超熟睡安心裤L码 2片／包 安睡裤考拉裤姨妈裤产妇女经期防漏安全裤卫生巾,2片/袋,6901407238314,16.81,16.8,35112131836
20317637808,洁能 点断垃圾袋 30个／卷 质地厚实抗拉伸强度高（颜色随机）,30个*1卷,6902227847557,1.74,6,35111314345
20317678424,超凡 打火机防爆加厚版打火机 1个／件款式随机,1个*1件,6902867330273,0.01,2,35111273978
20320004063,全钢啤酒瓶开瓶器饮料开盖器啤酒起子启瓶器镭射瓶起子1个,,2080389172510,0.01,2,35110825461
20583239503,一次性浴巾旅行单独包装一次毛巾加厚加大不掉絮浴巾民宿酒店（60x120cm）,,,0.01,6.5,35798462826
20317788146,【颜色随机】均码袜子女 春夏全棉不掉跟纯棉船袜 女士短袜袜子 女无骨袜棉袜纯色百搭 一双,颜色随机,6902211830015,1.45,5,35110593939
20317946112,【1个】牛皮档案袋 牛皮纸加厚文件袋资料袋收纳袋A4 单个,一个,6901823356968,0.01,4,35111311680
20318503687,得力 2B橡皮擦小学生用儿童像皮檫制图考试美术专用橡皮擦得干净 一块,1个*1份,6901542766697,0.01,1.5,35111941815
20317548263,得力 7156记事贴便利贴贴纸办公学生即时贴 100张／份,1个*1份,6904170820229,1.45,5,35109835834
20320043589,【随机品牌】中性笔0.5mm头刷题笔黑笔签字笔碳素笔文具办公 黑色一支,1支*1份,6934868702605,0.01,1,35109597170
20317393034,得力 502强力胶水 3g／支 单支装瞬间粘合,7146#3g*1支,6901484437174,0.01,2.5,35110152425
20581558160,家居衣服粘毛器手撕粘尘纸滚筒除毛器除尘刷粘毛滚宠物毛发黏毛器 60撕,1个*1份,6973999630586,1.97,6.8,35794141969
20319925072,【2个装】韩国ins可爱人鱼色电话线发圈发绳少女心梦幻橡皮筋透明镭射头绳 2个／袋,1个*1份,6902394964897,1.16,4,35110719551
20318821856,创意漱口杯六角菱形牙刷杯旅行洗漱杯,1个*1份,6937482703867,0.01,3,35110349171
20318109416,玻璃杯子ins风新款冰川杯简约早餐杯牛奶杯高颜值玻璃水杯伴手礼,矮款300ml#高款350ml,8008313900736,2.55,8.8,35111926098
20588959635,鞋刷软毛刷鞋刷子洗鞋刷不伤刷鞋神器家用清洁板刷鞋子（颜色随机）,,,0.01,1.99,35809096636
20317597186,【大号压圈垃圾桶】家用分类垃圾桶大号塑料创意卫生间厨房压圈无盖垃圾筒厅垃圾篓颜色随机1个,200克*1份,6901350054146,3.48,12,35112057451
20319566181,牙线盒自动弹出家用高档创意牙签盒筒轻奢随身便携迷你牙线收纳盒_盒,,2080319946525,0.01,3,35110538794
20318743756,有时光 旅行一次性泡澡袋加厚洗澡袋浴缸套木桶SPA塑料沐浴袋双人_包,十片/袋#一片,2080468370721,38.25,45,35110978788
20319051318,有时光一次性马桶垫加厚防水隔冷加长旅行马桶垫印花款 规格自选,十片/包#一片,2080204504144,15.98,18.8,35109474739
20319055137,【吃西瓜尖勺】小勺子不锈钢 家用餐具套装长柄喝汤勺学生食堂／个,一个,6901692217568,0.01,2.5,35113361020
20318700224,不锈钢刷锅清洁球钢丝球洗碗刷子擦锅球厨房用品去污锅刷铁丝球,中号（四个装）#小号单个装,6971164802943,8.5,10,35112000411
20318901076,8层棉纱吸水洗碗巾厨房清洁布不沾油百洁布去油擦碗抹布 _张,,2080159992584,0.01,2.5,35110266004
20318906000,【1个】佳选 加厚宽肩防滑衣架 1个 西服衣架加宽无痕衣架防滑不鼓,30g*1份,6902546267364,10.01,2.5,35112886854
20318383404,完美日记白胖子氨基酸卸妆湿巾1片装卸妆水一次性温和清洁,,2080441219979,0.01,2.5,35111413457
20319531425,一次性拖鞋 高档酒店男女适用拖鞋 居家招待客人亲戚拖鞋 一双,100克*1份,6904079932900,0.01,3,35113285798
20319178484,洁能 化妆木棉签脱脂木棉棒 100支／包,100支*1包,6901833897406,0.01,3.5,35111658023
20319924425,拉美拉 挖耳勺 不锈钢成人掏耳勺 老式掏耳勺 工具挖耳勺少女心掏耳神器 一个,一个,6903682453383,0.01,3.5,35113086297
20319053917,强人 大号指甲剪刀 大号成人脚趾甲修脚刀平口强人防飞溅家用指甲钳子 一个,1个*1份,6904033735196,1.45,5,35111776625
20319413178,星级酒店一次性洗漱用品宾馆民宿一次性牙刷牙膏套装,一盒,2080210599004,0.01,2,35110470584
20318502443,【加急点我】专人专送放心到家 加急快送 一份,1个*1份,6901178190989,15,15,35112370020
20319892664,收藏-福利点即送！【收藏好礼】 品牌随机（50份=1包 多拍无效）,（50份=1包 多拍无效）,6901335217382,0.5,0.01,35112148078
20330837351,仅限一份【惊喜盲盒】饮料？可乐？各种零食（惊喜不断）,1个*1份,3006491093320,0.5,0.5,35144528868
20331980577,"收货后有任何问题优先联系售后解决,本店号码19821014777",1个*1份,6931761419500,0,0,35144850246
20332891435,"有冰镇拿冰镇,没冰镇拿常温哦",10g*1份,6926679204454,0,0,35144810680
20333360955,【本店所以私密商品全部私密包装完美保密】,1个*1份,11052081,0,0,35144017965
20317076103,【丰香脆】上海特产十全十美手信送礼物伴手礼盒蝴蝶酥城隍庙豫园食品年货 528g_盒,528克/1盒,6976557970018,94.3,115,35108637062
20318058497,洽洽小黄袋每日坚果礼包750g恰恰孕妇30袋混合干果零食年货送礼盒,750g*1盒,,186.96,228,35110967951
20319326077,上海特产雪花酥桃酥酥饼老式城隍庙传统糕点休闲零食手工小吃点心 _个（随机口味）,,2080271956556,4.76,5.8,35111600500
20318818622,经典面霜上海女人雪花膏80g茉莉玫瑰夜来香多种香老牌国货擦脸油 香型自选_个,80克,2080561628811,12.96,15.8,35108796632
20317987421,上海女人经典珍珠膏雪花膏100保湿珍珠粉滋润面霜男女 一套,,2080476238372,35.18,42.9,35111322939
20318699316,上海女人夜玫瑰雪花膏护手霜官方旗舰店正品保湿补水滋润不油腻两件套110g_套,,2080765248440,16.32,19.9,35108919747
20319800852,上海女人银耳珍珠滋润霜100g芦荟银耳红枣保湿补水滋润提亮老国货 一个,,2080318088554,18.7,22.8,35109466720
20316915187,老杜 老上海风味熏鱼熟食200g_袋,200g*1袋,6946327402643,24.6,30,35109781898
20319524192,上海女人雪花膏六件套女小众上海特产国货老牌 240g_盒,,2080449482795,67.45,82.25,35110135943
20319174578,上海牛奶巧克力心形铁盒上海巧克力特产卡通图案糖果创意礼物_盒,,2080498147324,56.42,68.8,35110421376
20318059263,上海老城隍庙本草梨膏糖225g豫园牌特产礼盒,225克,2080258487097,49.12,59.9,35110176588
20317437600,上海女人雪花膏保湿滋润面霜男女老上海老牌国货护肤品 50g_套,50克/套,,26.9,32.8,35110651034
20319447805,上海特产 百诺巧克力铁盒东方明珠 夜上海铁盒牛奶巧克力 120g _盒,120克,2080262987927,56.42,68.8,35110136987
20318224997,上海女人雪花膏化妆品补水保湿霜三件套装国货护肤品老牌送礼袋 240g_套,,2080701290076,32.72,39.9,35110853437
20319801205,上海女人护手护唇护肤3件套盒 保湿送长辈妈妈国货雪花膏国货面霜 155g_盒,,2080452696271,49.12,59.9,35110813556
20319642745,上海女人 国货上海女人夜来香莹润紧爽肤水柔肤水120ml_瓶,120毫升/瓶,2080404443021,59.7,72.8,35111405978
20319609877,上海女人护手霜乳木果套装滋润保湿雪花膏秋冬上海老牌国货三件套165g_盒,,2080689450530,49.12,59.9,35111051373
20319409885,上海特产桃酥饼礼盒220克 传统糕点地方宫廷桃酥_盒,220克,2080506244007,21.98,26.8,35111406284
20317505644,上海特产十二名点200g礼盒板栗糕点传统土特产送礼公司礼品,200克,2080305483706,24.52,29.9,35110736823
20317743613,上海特产礼盒八大样老八样老年传统糕点休闲零食年货节日礼盒 一盒,,2080686554965,174.25,212.5,35111920218
20317545281,上海特产四大名点老式传统糕点礼盒装四味零食点心伴手礼228g4盒_套,228克*4盒/套,,90.2,110,35109785620
20317077815,大白兔奶糖高颜值创意铁盒装新年活动小礼品生日礼物冠生园糖果300g_份,300克,2080519754180,38.38,46.8,35111452030
20320001958,大白兔奶糖混合口味9种礼盒装糖果送女友生日礼物_1盒1000g,1000克,2080747737368,96.76,118,35111093329
20318226655,上海特产礼盒 老八样 老八宝400g 城隍庙土特产小吃零食瑜衡伴手礼盒,400克,2080798445274,38.38,46.8,35111960818
20317631860,上海特产礼盒老八样 老八宝400g 城隍庙土特产小吃零食瑜衡伴手礼_盒,400克,2080686297428,38.38,46.8,35110740771
20319011252,老城隍庙上海特产桂花云片糕盒装150g 老糕点红纸条喜糕云片糕,150克,2080165076162,12.96,15.8,35109318416
20316959562,奇豫坊上海特产礼盒糕点城隍庙传统糕点大礼包4味1_份,1/套,,137.76,168,35111214121
20319960327,上海特产礼盒糕点城隍庙传统糕点大礼包奇豫坊合果子4味_套800g,800克,2080302333103,51.5,62.8,35110781057
20319612494,上海特产老城隍庙奶油五香豆180克蚕豆休闲零食_袋,180克,2080301531357,13.78,16.8,35111573280
20319294692,上海特产老城隍庙奶油五香豆200克蚕豆休闲零食_袋,200克,2080299087546,13.78,16.8,35111458567
20317235439,老上海风味特产千层蝴蝶酥葱香原味字号手工传统糕点零食伴手礼盒275g,275克,2080355152942,40.92,49.9,35111690743
20317388167,宝中宝 脲素霜 100g_罐,100克/罐,6924964300256,8.12,9.9,35110174930
20318587651,上海特产传统老味道麻酥糖糕点花生腰果芝麻绿豆核桃豆酥糖500克,500克,2080110792727,26.9,32.8,35112655659
20318654211,隆芝斋 申城十景糕 上海特产糕点多口味组合零食小吃礼盒伴手礼 418g_盒,418g*1盒,6932325802035,56.42,68.8,35110692394
20319369966,上海特产隆芝斋老上海五味名点组合礼盒传统糕点送人高颜值伴手礼 一盒,500g*1盒,6932052203266,57.32,69.9,35109666938
20319732134,雅霜雪花膏80g润肤霜 桂花香 新包装塑料瓶 80g／瓶,80g*1瓶,6903967666880,13.78,16.8,35110188554
20540030094,上海文创旅游纪念品城市冰箱贴 1个_份 景区古风城市文创磁性贴冰箱装饰贴,1个,6954721500599,21.98,26.8,35708929806
20549112271,【青海4款+流苏】青海湖书签茶卡盐湖塔尔寺景点文创金属纪念品随手礼。,1个*1份,6942661084088,72.9,88.9,35734483381
20551407993,上海旅游纪念品东方明珠外滩豫园文创古典中国风金属书签礼品定制1_个,南京步行街#静安寺#东方明珠#豫园#外滩,,10.58,12.9,35735281001
20566368215,旅游纪念币东方明珠塔外滩九曲桥武康大楼周边文创纪念章_1个,豫园#东方明珠,,10.5,12.8,35760863393
20576481147,【步行街】上海城市地标纪念币旅游文创礼品东方明珠塔金属纪念章上海特产打卡金章礼物_个,,,10.5,12.8,35782814725
20585703359,上海博物馆外滩城隍庙冰箱贴树脂金属旅游文创礼品纪念品琥珀文创_1个,1个*1份,6972333237610,21.98,26.8,35800196505
20589754306,（隆芝斋）桂花味龙须酥 休闲零食老上海传统糕点龙须糖送礼盒点心食品226g_盒,226克/盒,6932325802448,40.02,48.8,35808744810
20589757757,奇豫坊 上海特产八景糕礼盒老城隍庙传统中式糕点400克_,400克/盒,6959819817320,31.82,38.8,35809547745
20589953136,隆芝斋 上海特产礼盒五味名点组合伴手礼老式城隍庙传统糕点字号大礼包,,,49.12,59.9,35809189859
20590149508,瑜衡【上海特色】老式中式糕点小船巴旦木船酥坚果组合糕点礼盒 160g_盒,160克/盒,,40.92,49.9,35809782470
20590510393,大白兔White Rabbit 奶糖 200g_袋,200g*1袋,6922024732580,18.78,22.9,35810292799
20590976035,上海特产礼盒蝴蝶酥隆芝斋老式传统糕点字号点心零食送礼长辈礼物130克_盒,130克/盒,6932325802417,31.82,38.8,35808352946
20591299337,【上海特产】大白兔奶糖 礼盒装冠生园生日情人圣诞礼物零食糖果114g_盒（礼盒样式随机）,114克/盒,,20.49,24.99,35810375625
20592201679,瑜衡上海特色老式中式糕点坚小果300g_盒,300克/盒,,40.92,49.9,35810058990
20592521176,风都 上海特产桂花云片糕盒装老糕点红纸条喜糕批发云片糕188g_份,188克,,12.96,15.8,35811088385
20794750616,知味观 速食杭州特产西湖桂花莲子藕粉纯藕粉速溶方便早餐10包装300个_盒,30g*10包,6957310402489,81.18,99,36265650520
20798512844,宁夏枸杞源产地红枸杞原浆沙棘汁原液50ml_1瓶,50毫升/1瓶,,9.68,11.8,36278652188
21355386810,上海女人雪花膏夜来香护手霜老上海国货经典滋润保湿二件套_1套,,,16.32,19.9,37838570755
20317838956,上海特产礼盒八大样老八样老年传统糕点休闲零食年货节日礼盒_套,,2080235506827,174.25,212.5,35112030663
20319963885,百岁山 饮用天然矿泉水 570ml／瓶 来自深沉岩石裂隙中,570ml*1瓶,6903238442144,2.64,3,35112371270
20317945136,百岁山 天然矿泉水 办公室会议小瓶装水 348ml／瓶,348ml/瓶,6902068928255,0.01,2.5,35110872453
20319730881,农夫山泉 饮用天然水 5l4桶_箱,5l*4桶,6926753079954,42.24,48,35109319594
20318937638,怡宝 饮用纯净水 4.5L／桶 可用于饮水机,4.5升/桶,6903788058468,12.14,13.8,35111271588
20318619462,【整箱】百岁山 矿泉水 570mlx24瓶／箱,570ml*24瓶,6903624438478,64.6,68,35112249484
20319922930,【整箱】百岁山 饮用天然矿泉水 348mlx24瓶／箱,348ml*24瓶,6904259535136,52.25,55,35112525416
20318705145,【整箱】娃哈哈饮用水596mlx24瓶／包（包装随机）,596ml*24瓶,6903952933034,39.9,42,35113202249
20318234840,怡宝 纯净水 1555ml／1瓶装,1555毫升/瓶,6901299242635,3.96,4.5,35112069366
20319807738,农夫山泉 天然饮用水 1.5L／瓶 天然水大瓶装,1.5l*1瓶,6903355392889,1.31,4.5,35113206891
20317552424,农夫山泉 天然饮用水 5L／桶,5l*1桶,6902106574543,21.67,16.8,35113168404
20320120163,娃哈哈 饮用纯净水 596mlx12瓶／包（散装随机发货）,12瓶,6901887759811,19.36,22,35109638639
20319298638,【国货之光】娃哈哈 饮用纯净水 596ml／瓶,596ml*1瓶,6901670527375,0.01,2,35113124776
20317993427,怡宝 饮用纯净水 饮用水  555ml／瓶,555ml*1瓶,6903056866443,0.01,2.2,35110279415
20593707404,农夫山泉【绿_红随机发，不接受指定】饮用纯净水饮用水550ml12瓶_件,,583998452766,19.36,22,35816440820
